Category,Feature,Description,Complexity,Priority,Status,Planned Version,Dependency,Risk Level,Notes
Navigation Core,Core NavigationService API,Maintain SwitchPage / SwitchTransient entrypoints for type-based navigation.,Medium,High,Done,v1,,Medium,
Navigation Core,Type-based navigation overloads,Support navigation by Type (non-generic) for dynamic scenarios.,Low,Medium,Done,v1,,Medium,
Navigation Core,NavigationArgs payload model,Standard payload object for passing data between pages.,Low,High,Done,v1,,Medium,
Navigation Core,UseCache flag honoring,Ensure UseCache controls whether PageRegistry.Resolve or CreateNew is used.,Low,High,Done,v1,,Medium,
Navigation Core,Reentrancy guard _isNavigating,Prevent concurrent navigation calls from conflicting.,Medium,High,Done,v1,,Medium,
Navigation Core,Host initialization guard,Throw clear error if Initialize was not called before navigation.,Low,High,Done,v1,,Medium,
Navigation Core,CurrentChanged event,Fire when Current page instance changes successfully.,Low,Medium,Done,v1,,Medium,
Navigation Core,Navigating / Navigated events,"Lifecycle events before and after navigation, including payload info.",Medium,High,Done,v1,,Medium,
Navigation Core,NavigationFailed event,Centralized failure callback with Exception for logging/UI.,Medium,High,Done,v1,,Medium,
Navigation Core,GoHomeAsync helper,Convenience method to navigate to timeout/home target.,Low,Medium,Done,v1,,Medium,
Navigation Core,Guard against null timeout target,Avoid exceptions when no timeout home page is registered.,Low,Medium,Done,v1,,Medium,
Navigation Core,Allow custom navigation strategies,Design extension point to plug alternative navigation logic if needed.,High,Low,Not Started,v3,,High,Future extension seam.
History & State,PageHistoryEntry model,Lightweight record of visited page instance and timestamp.,Low,Medium,Done,v1,,Medium,
History & State,Back/forward stacks,Maintain Back/Forward stacks of PageHistoryEntry.,Medium,High,Done,v1,,Medium,
History & State,Record() API,Push current page into back stack and clear forward stack.,Low,High,Done,v1,,Medium,
History & State,GoBackAsync,Navigate to previous page using history stack.,Medium,High,Done,v1,,Medium,
History & State,GoForwardAsync,Navigate forward if available in history.,Medium,Medium,Done,v1,,Medium,
History & State,HistoryChanged event,Event fired whenever history stacks change.,Low,Medium,Done,v1,,Medium,
History & State,Expose HistoryBack/HistoryForward enumeration,Allow listing history stacks for debug UI.,Low,Medium,Done,v1,,Medium,
History & State,Optional history recording suppression,Allow special navigations to skip being added to history.,Low,Medium,Done,v1,,Medium,
History & State,Session restore concept design,Plan how the last page could be restored across app restart.,Medium,Medium,Not Started,v2,,Medium,Design only; implementation deferred.
History & State,Persisted history (disk),Optional persistence of navigation history for long-running sessions.,High,Low,Not Started,v3,,High,
Timeout & Behavior Logic,TimeoutService core,Central service using ITimerAdapter to fire TimeoutReached.,Medium,High,Done,v1,,Medium,
Timeout & Behavior Logic,TimeoutBehavior enum,Default / OverrideHome / IgnoreTimeout per page.,Low,High,Done,v1,,Medium,
Timeout & Behavior Logic,State tracking in TimeoutService,Track Running / Paused / Uninitialized etc.,Low,Medium,Done,v1,,Medium,
Timeout & Behavior Logic,Reset hook for user interaction,Connect TimeoutService.Reset to click events via EventDispatcher.,Medium,High,Done,v1,,Medium,
Timeout & Behavior Logic,Pause / Continue APIs,Allow pausing timeout during modal flows.,Low,High,Done,v1,,Medium,
Timeout & Behavior Logic,OnTimeout handler in NavigationService,"Navigation logic when timeout occurs, including OverrideHome.",Medium,High,Done,v1,,Medium,
Timeout & Behavior Logic,Expose SecondsRemaining,Property to show remaining time to UI/debug.,Low,Medium,Done,v1,,Medium,
Timeout & Behavior Logic,Adaptive timeout design,Define strategy for timeouts that depend on page or user state.,Medium,Low,Not Started,v2,,Medium,
Timeout & Behavior Logic,Per-page timeout override settings,Option to define custom timeout durations per page.,Medium,Medium,Not Started,v2,,Medium,
Dialogs & Overlays,IPageMask abstraction,Core abstraction to show/hide loading or blocking overlays.,Low,High,Done,v1,,Medium,
Dialogs & Overlays,PageMaskService,Small facade to show/hide mask from NavigationService.,Low,High,Done,v1,,Medium,
Dialogs & Overlays,Basic WinForms PageMask adapter,Panel overlay implementation for WinForms host.,Medium,High,In Progress,v1,,Medium,
Dialogs & Overlays,Basic WPF PageMask adapter,Grid overlay implementation for WPF host.,Medium,High,In Progress,v1,,Medium,
Dialogs & Overlays,Mask text support,Support showing 'Loading...' or custom text on mask.,Low,Medium,Done,v1,,Medium,
Dialogs & Overlays,Blocking interaction with mask,Ensure interaction blocker disables underlying content while mask is visible.,Medium,High,In Progress,v1,,Medium,
Dialogs & Overlays,Non-blocking toast-like notification concept,Define future model for small non-modal info popups.,Low,Low,Not Started,v2,,Low,
Dialogs & Overlays,Central dialog abstraction (future),High-level IChildWindow/dialog API for confirmation and alerts.,High,Medium,Not Started,v2,,High,Depends on IChildWindow design.
Subwindows & Child Windows,IChildWindow abstraction,Base contract for child/subwindow concept.,Medium,Medium,Not Started,v2,,Medium,
Subwindows & Child Windows,ChildWindowService design,Internal manager for open child windows per host.,High,Medium,Not Started,v2,,High,
Subwindows & Child Windows,Modal vs non-modal child windows rules,Define how child windows behave regarding navigation & timeout.,High,Medium,Not Started,v2,,High,
Subwindows & Child Windows,Lock interaction while modal child open,Use IInteractionBlocker to block background while modal dialog shown.,Medium,High,Not Started,v2,IChildWindow abstraction,Medium,
Subwindows & Child Windows,Close propagation semantics,Clarify what happens when parent page closes while child still open.,Medium,Medium,Not Started,v2,,Medium,
Subwindows & Child Windows,Integration with history,Decide if child windows affect navigation history or are separate.,High,Low,Not Started,v3,,High,
Animation Layer,Transition hook design,Add extension points to plug animations before/after page attach.,High,Medium,Not Started,v2,,Medium,
Animation Layer,Simple fade transition,Optional fade-in/fade-out between pages.,Medium,Medium,Not Started,v2,Transition hook design,Medium,
Animation Layer,Slide transition (left/right),Slide pages in/out for navigation gestures.,Medium,Low,Not Started,v2,Transition hook design,Medium,
Animation Layer,Configurable transition duration,Allow per-page or global animation duration settings.,Low,Low,Not Started,v2,Transition hook design,Low,
Animation Layer,Cancelable transitions,Allow navigation cancellation if a new navigation is requested mid-transition.,High,Medium,Not Started,v3,Transition hook design,High,
Animation Layer,Pluggable easing functions,"Support custom easing curves (linear, cubic, bounce, etc.).",Medium,Low,Not Started,v3,,Medium,
Data & Integration,HTTP client wrapper,Simple HttpClient-based helper to call external APIs.,Medium,Medium,Not Started,v1,,Low,
Data & Integration,PokéAPI integration,Fetch and display Pokémon list and details.,Medium,Medium,Not Started,v1,HTTP client wrapper,Low,
Data & Integration,OpenLibrary integration,Search books and display results with paging.,Medium,Medium,Not Started,v1,HTTP client wrapper,Low,
Data & Integration,SpaceX launches browser,Show recent launches and navigate to detail pages.,Medium,Medium,Not Started,v1,HTTP client wrapper,Low,
Data & Integration,SQLite local cache,Persist API data locally to test cache + offline scenarios.,High,High,Not Started,v1,,Medium,
Data & Integration,Data-driven demo pages,Dedicated sample pages to stress NavigationService with real data.,Medium,High,Not Started,v1,HTTP client wrapper; SQLite local cache,Medium,
DX Tooling,PageLoggerService,In-memory list of navigation entries.,Low,High,Done,v1,,Medium,
DX Tooling,PageLogger file logging,Thread-safe file logger for registry/navigation messages.,Medium,High,Done,v1,,Medium,
DX Tooling,Configurable log file path,Allow configuring log path at startup.,Low,Medium,Done,v1,,Medium,
DX Tooling,Log categories (Registry/Navigation/Timeout),Basic log categorization by area.,Medium,Medium,In Progress,v1,,Medium,
DX Tooling,Logger verbosity flags,Turn on/off debug/verbose logs for specific subsystems.,Medium,Medium,Not Started,v1,,Low,
DX Tooling,Debug page in demo app,"Page displaying history, timeout state, and recent logs.",Medium,Medium,Not Started,v1,,Low,
DX Tooling,Design-time tools improvements,Utilities like IsInDesignMode to avoid running runtime code at design time.,Low,Medium,In Progress,v1,,Medium,
Platform Adapters,IPlatformAdapter abstraction,"Unified interface to create host, mask, events, timer, blockers.",Medium,High,Done,v1,,Medium,
Platform Adapters,PlatformRegistry,Registry to manage available platform adapters and resolve based on host.,Medium,High,Done,v1,,Medium,
Platform Adapters,WinForms adapter (host/mask/events/blocker/timer),Full implementation of IPlatformAdapter for WinForms.,High,High,In Progress,v1,,Medium,
